epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1599.93,0.66224,0.36765,1.0982,0.99775,1,0.995,0.77984,0.83066,0.33471,1.35085,0.0010595,0.0010595,0.0010595
97,1616.97,0.66298,0.37279,1.09821,1,0.99849,0.995,0.80428,0.82183,0.34409,1.38873,0.0010496,0.0010496,0.0010496
98,1633.84,0.66562,0.37375,1.1173,0.99655,0.94737,0.9863,0.77758,0.82849,0.41557,1.33454,0.0010397,0.0010397,0.0010397
99,1650,0.66756,0.37281,1.11378,1,0.99906,0.995,0.79111,0.83932,0.39109,1.38603,0.0010298,0.0010298,0.0010298
100,1666.55,0.66269,0.36176,1.10338,1,0.9979,0.995,0.78147,0.87847,0.40239,1.39251,0.0010199,0.0010199,0.0010199
101,1682.82,0.6799,0.37277,1.12036,0.99799,1,0.995,0.82358,0.84327,0.33974,1.4021,0.00101,0.00101,0.00101
102,1699.17,0.66103,0.36752,1.12621,0.99216,0.94737,0.95751,0.80079,0.87481,0.31034,1.3968,0.0010001,0.0010001,0.0010001
103,1716.31,0.66587,0.37545,1.11339,0.9975,1,0.995,0.80315,0.87529,0.32599,1.38726,0.0009902,0.0009902,0.0009902
104,1732.87,0.65281,0.36226,1.10462,0.98421,0.94737,0.95277,0.78444,0.8984,0.33609,1.41478,0.0009803,0.0009803,0.0009803
105,1749.79,0.67359,0.37785,1.11539,0.99785,1,0.995,0.8182,0.83014,0.32215,1.35478,0.0009704,0.0009704,0.0009704
106,1766.34,0.64547,0.36846,1.09548,1,0.99982,0.995,0.79451,0.83997,0.32217,1.38738,0.0009605,0.0009605,0.0009605
107,1782.69,0.64829,0.35534,1.11105,1,0.99945,0.995,0.80576,0.83133,0.3194,1.35668,0.0009506,0.0009506,0.0009506
108,1799.56,0.63297,0.34585,1.09024,0.99612,0.94737,0.9925,0.78721,0.86814,0.3703,1.37827,0.0009407,0.0009407,0.0009407
109,1816.14,0.65947,0.35728,1.09647,0.99308,0.94737,0.99024,0.77588,0.89814,0.32462,1.41499,0.0009308,0.0009308,0.0009308
110,1832.35,0.64866,0.35436,1.09765,0.9996,1,0.995,0.80326,0.82251,0.31119,1.36729,0.0009209,0.0009209,0.0009209
111,1848.5,0.63624,0.35562,1.08197,0.99752,1,0.995,0.81336,0.82229,0.29561,1.36957,0.000911,0.000911,0.000911
112,1864.72,0.63524,0.35653,1.08831,0.99722,1,0.995,0.80685,0.8224,0.30702,1.36191,0.0009011,0.0009011,0.0009011
113,1880.71,0.63899,0.35481,1.09503,0.99764,1,0.995,0.79715,0.84856,0.30797,1.41406,0.0008912,0.0008912,0.0008912
114,1896.94,0.64194,0.34508,1.09015,0.99758,1,0.995,0.79812,0.86095,0.32493,1.43684,0.0008813,0.0008813,0.0008813
